Using config local-gluetools-config.xml
sequenceID	gb_isolate	gb_host	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_pubmed_id	gb_country_short	gb_place_sampled	gb_lab_construct	gb_isolation_source
AB075967	V091ORF1	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075968	V123ORF1	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075969	V131ORF1	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075970	V228ORF1	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB075971	V008ORF3	Homo sapiens	-	-	-	-	Vietnam	Hanoi	false	human serum
AB079762	HE-JF1	Homo sapiens	-	-	-	12409557	Japan	-	false	-
AB079763	HE-JF2	Homo sapiens	-	-	-	12409557	Japan	-	false	-
AB079764	HE-JF3	Homo sapiens	-	-	-	12409557	Japan	-	false	-
AB080575	HE-JI4	Homo sapiens	-	-	-	12124457	Japan	-	false	human serum
AB080576	HE-JI4	Homo sapiens	-	-	-	12124457	-	-	false	human serum
AB080577	HE-JI3	Homo sapiens	-	-	-	12124457	-	-	false	human serum
AB080578	HE-JI3	Homo sapiens	-	-	-	12124457	Japan	-	false	human serum
AB080579	HE-JI3	Homo sapiens	-	-	-	12124457	Japan	-	false	human serum
AB082545	HE-J1	Homo sapiens	-	-	-	12202555	Japan	-	false	serum
AB082546	HE-JA1	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082547	HE-JA2	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082548	HE-JA3	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082549	HE-JA4	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082550	HE-JA5	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082551	HE-JA6	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082552	HE-JA7	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082553	HE-JA8	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082554	HE-JA9	Homo sapiens	-	-	-	12202555	Japan	Fukushima, Iwaki	false	serum
AB082555	HE-JA10	Homo sapiens	-	-	-	12202555	Japan	Tokyo	false	serum
AB082556	HE-JA11	Homo sapiens	-	-	-	12202555	Japan	Yamanashi, Kofu	false	serum
AB082557	HE-JA1	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082558	HE-JA2	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082559	HE-JA3	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082560	HE-JA4	Homo sapiens	-	-	-	12202555	Japan	Hokkaido, Sapporo	false	serum
AB082561	HE-JA5	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082562	HE-JA6	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082563	HE-JA7	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082564	HE-JA8	Homo sapiens	-	-	-	12202555	Japan	Iwate, Morioka	false	serum
AB082565	HE-JA9	Homo sapiens	-	-	-	12202555	Japan	Fukushima, Iwaki	false	serum
AB082566	HE-JA10	Homo sapiens	-	-	-	12202555	Japan	Tokyo	false	serum
AB082567	HE-JA11	Homo sapiens	-	-	-	12202555	Japan	Yamanashi, Kofu	false	serum
AB085949	Ne014	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085950	Ne026	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085951	Ne037	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085952	Ne049	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085953	Ne063	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085954	Ne064	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085955	Ne068	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085956	Ne069	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085957	Ne069	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085958	Ne072	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085959	Ne074	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085960	Ne080	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085961	Ne081	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085962	Ne086	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085963	Ne087	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085964	Ne090	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085965	Ne091	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085966	Ne105	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085967	Ne112	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085968	Ne118	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085969	Ne131	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085970	Ne132	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085971	Ne133	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085972	Ne134	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085973	Ne135	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085974	Ne136	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085975	Ne136	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085976	Ne137	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085977	Ne146	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085978	Ne149	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085979	Ne150	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085980	Ne151	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085981	Ne153	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085982	Ne154	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085983	Ne155	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085984	Ne157	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085985	Ne159	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085986	Ne162	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085987	Ne164	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085988	Ne165	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085989	Ne166	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085990	Ne169	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085991	Ne172	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085992	Ne174	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085993	Ne177	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085994	Ne181	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085995	Ne182	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085996	Ne183	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085997	Ne185	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085998	Ne186	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB085999	Ne-A2	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB086000	Ne-A312	Homo sapiens	-	-	-	12683409	Nepal	Kathmandu	false	serum of patient with sporadic hepatitis E
AB088418	HE-JO-1982	-	-	-	-	12404177	Japan	Mito	false	-
AB089824	HE-JA10	Homo sapiens	-	-	-	12560575	Japan	Tokyo	false	-
AB091394	JJT-Kan	Homo sapiens	-	-	-	14555851	Japan	Kanagawa	false	serum from a patient with acute hepatitis
AB091395	JSN-Sap-FH	Homo sapiens	-	-	-	14555851	Japan	Hokkaido, Sapporo	false	serum from a patient with fulminant hepatitis
AB093535	HEV-Sendai	Homo sapiens	-	-	-	-	Japan	Sendai	false	human serum
AB094203	swJ1-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094204	swJ1-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094205	swJ1-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094206	swJ1-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094207	swJ2-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094208	swJ2-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094209	swJ2-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094210	swJ2-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094211	swJ2-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094212	swJ3-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094213	swJ3-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094214	swJ3-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094215	swJ4-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094216	swJ5-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094217	swJ6-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094218	swJ6-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094219	swJ7-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094220	swJ7-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094221	swJ7-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094222	swJ7-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094223	swJ7-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094224	swJ7-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094225	swJ7-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094226	swJ8-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094227	swJ8-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094228	swJ8-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094229	swJ8-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094230	swJ8-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094231	swJ8-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094232	swJ8-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094233	swJ8-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094234	swJ8-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094235	swJ8-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094236	swJ8-11	-	-	-	-	12655086	Japan	-	false	swine serum
AB094237	swJ8-12	-	-	-	-	12655086	Japan	-	false	swine serum
AB094238	swJ10-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094239	swJ10-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094240	swJ11-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094241	swJ11-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094242	swJ11-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094243	swJ11-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094244	swJ11-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094245	swJ11-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094246	swJ11-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094247	swJ11-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094248	swJ11-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094249	swJ11-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094250	swJ12-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094251	swJ12-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094252	swJ12-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094253	swJ12-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094254	swJ13-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094255	swJ13-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094256	swJ15-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094257	swJ15-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094258	swJ15-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094259	swJ15-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094260	swJ15-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094261	swJ15-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094262	swJ15-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094263	swJ15-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094264	swJ15-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094265	swJ15-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094266	swJ15-11	-	-	-	-	12655086	Japan	-	false	swine serum
AB094267	swJ16-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094268	swJ16-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094269	swJ16-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094270	swJ16-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094271	swJ16-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094272	swJ17-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094273	swJ17-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094274	swJ17-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094275	swJ18-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094276	swJ18-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094277	swJ18-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094278	swJ18-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094279	swJ19-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094280	swJ19-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094281	swJ19-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094282	swJ19-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094283	swJ19-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094284	swJ19-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094285	swJ19-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094286	swJ19-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094287	swJ19-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094288	swJ19-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094289	swJ19-11	-	-	-	-	12655086	Japan	-	false	swine serum
AB094290	swJ20-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094291	swJ20-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094292	swJ20-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094293	swJ22-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094294	swJ22-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094295	swJ22-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094296	swJ22-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094297	swJ22-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094298	swJ22-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094299	swJ22-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094300	swJ22-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094301	swJ22-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094302	swJ22-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094303	swJ22-11	-	-	-	-	12655086	Japan	-	false	swine serum
AB094304	swJ22-12	-	-	-	-	12655086	Japan	-	false	swine serum
AB094305	swJ23-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094306	swJ24-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094307	swJ24-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094308	swJ24-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094309	swJ24-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094310	swJ24-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094311	swJ24-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094312	swJ24-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094313	swJ24-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094314	swJ24-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094315	swJ24-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094316	swJ24-11	-	-	-	-	12655086	Japan	-	false	swine serum
AB094317	swJ25-1	-	-	-	-	12655086	Japan	-	false	swine serum
AB094318	swJ25-2	-	-	-	-	12655086	Japan	-	false	swine serum
AB094319	swJ25-3	-	-	-	-	12655086	Japan	-	false	swine serum
AB094320	swJ25-4	-	-	-	-	12655086	Japan	-	false	swine serum
AB094321	swJ25-5	-	-	-	-	12655086	Japan	-	false	swine serum
AB094322	swJ25-6	-	-	-	-	12655086	Japan	-	false	swine serum
AB094323	swJ25-7	-	-	-	-	12655086	Japan	-	false	swine serum
AB094324	swJ25-8	-	-	-	-	12655086	Japan	-	false	swine serum
AB094325	swJ25-9	-	-	-	-	12655086	Japan	-	false	swine serum
AB094326	swJ25-10	-	-	-	-	12655086	Japan	-	false	swine serum
AB094327	swJ25-11	-	-	-	-	12655086	Japan	-	false	swine serum
AB094328	swJ25-12	-	-	-	-	12655086	Japan	-	false	swine serum
AB094329	swJ25-13	-	-	-	-	12655086	Japan	-	false	swine serum
AB094330	swJ25-14	-	-	-	-	12655086	Japan	-	false	swine serum
AB094331	swJ25-15	-	-	-	-	12655086	Japan	-	false	swine serum
AB094332	swJ25-16	-	-	-	-	12655086	Japan	-	false	swine serum
AB094333	swJ25-17	-	-	-	-	12655086	Japan	-	false	swine serum
AB094334	swJ25-18	-	-	-	-	12655086	Japan	-	false	swine serum
AB094335	swJ25-19	-	-	-	-	12655086	Japan	-	false	swine serum
AB094336	swJ25-20	-	-	-	-	12655086	Japan	-	false	swine serum
AB094337	swJ25-21	-	-	-	-	12655086	Japan	-	false	swine serum
AB094338	swJ25-22	-	-	-	-	12655086	Japan	-	false	swine serum
AB094339	swJ25-23	-	-	-	-	12655086	Japan	-	false	swine serum
AB096756	swJC1990	-	-	-	-	12624083	Japan	-	false	pig serum
AB097811	swJ13-1	-	-	-	-	12692290	Japan	Hokkaido	false	pig serum
AB097812	HE-JA1	Homo sapiens	-	-	-	12692290	Japan	Hokkaido	false	serum
AB099347	HE-JK4	Homo sapiens	-	-	-	12850697	Japan	Tochigi	false	serum
AB105888	HE-JA12	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105889	HE-JA13	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105890	HE-JA14	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105891	HE-JA15	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105892	HE-JA16	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105893	HE-JA17	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105894	HE-JA18	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105895	HE-JA19	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105896	HE-JF4	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105897	HE-JF5	-	-	-	-	12917455	Japan	Hokkaido	false	human serum
AB105898	swJL82	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB105899	swJL97	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB105900	swJL98	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB105901	swJL131	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB105902	swJL145	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB105903	swJL234	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB105904	swJL325	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB107366	HE-JAS1	Homo sapiens	-	-	-	15065009	Japan	Sendai	false	serum
AB107367	HE-JAS2	Homo sapiens	-	-	-	15065009	Japan	Sendai	false	serum
AB107368	HE-JAS3	Homo sapiens	-	-	-	15065009	Japan	Sendai	false	serum
AB108537	CCC220	-	-	-	-	12931035	China	Changchun	false	Serum
AB108652	HE-JA12	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108653	HE-JA13	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108654	HE-JA14	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108655	HE-JA15	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108656	HE-JA16	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108657	HE-JA18	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108658	HE-JA19	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108659	HE-JF4	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108660	HE-JF5	Homo sapiens	-	-	-	12917455	Japan	Hokkaido	false	serum
AB108661	swJL82	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB108662	swJL97	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB108663	swJL98	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB108664	swJL145	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB108665	swJL234	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB108666	swJL325	-	-	-	-	12917455	Japan	Hokkaido	false	pig liver
AB112743	HE-JBD1	-	-	-	-	15221899	Japan	Tochigi	false	human serum
AB113303	HRC-SK	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Muroran	false	-
AB113304	HRC-IM	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Saru	false	-
AB113305	HRC-HE1	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Sapporo	false	-
AB113306	HRC-HE2	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Abashiri	false	-
AB113307	HRC-HE3	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Asahikawa	false	-
AB113308	HRC-HE4	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Kitahiroshima	false	human plasma
AB113309	HRC-HE5	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Otaru	false	-
AB113310	HRC-HE6	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Date	false	-
AB113311	HRC-SK	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Muroran	false	-
AB113312	HRC-IM	Homo sapiens	-	-	-	15157263	Japan	Hokkaido, Saru	false	-
AB114178	JSF-Tot03	-	-	-	-	12964128	Japan	Tottori	false	serum from a patient with fulminant hepatitis E who developed the disease after eating uncooked liver from a wild-caught boar
AB114179	JDEER-Hyo03	-	-	-	-	12907011	Japan	Hyogo	false	muscle tissue from a wild-caught deer (Cervus nippon nippon)
AB114180	JMO-Hyo03	-	-	-	-	12907011	Japan	Hyogo	false	serum from a patient with acute hepatitis E who developed the disease after eating raw meat from a wild-caught deer (Cervus nippon nippon)
AB114181	JSO-Hyo03	-	-	-	-	12907011	Japan	Hyogo	false	serum from a patient with acute hepatitis E who developed the disease after eating raw meat from a wild-caught deer (Cervus nippon nippon)
AB114182	JTH-Hyo03	-	-	-	-	12907011	Japan	Hyogo	false	serum from a patient with acute hepatitis E who developed the disease after eating raw meat from a wild-caught deer (Cervus nippon nippon)
AB114183	JYO-Hyo03	-	-	-	-	12907011	Japan	Hyogo	false	serum from a patient with acute hepatitis E who developed the disease after eating raw meat from a wild-caught deer (Cervus nippon nippon)
