queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/AB074921	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:41.37%, AL_4f:20.82%, AL_4h:10.52%, AL_4g:7.39%, AL_4_AB369688:6.02%, AL_4e:3.11%, AL_4a:2.91%, AL_4i:2.80%, AL_4b:2.63%, AL_4d:2.44%	-	-	-
ncbi-hev/AB075956	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:86.76%, AL_4d:1.54%, AL_4e:2.75%, AL_4a:1.66%, AL_4g:2.05%, AL_4f:1.06%, AL_4_AB369688:0.90%, AL_4c:2.38%, AL_4i:0.61%, AL_4h:0.29%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB075957	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4i	AL_4i:72.46%, AL_4g:10.78%, AL_4b:11.99%, AL_4d:0.89%, AL_4a:1.12%, AL_4c:2.76%	AL_4i	ncbi-hev	DQ450072
ncbi-hev/AB075958	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4b:54.70%, AL_4d:1.71%, AL_4e:2.51%, AL_4a:1.85%, AL_4g:26.06%, AL_4f:1.99%, AL_4_AB369688:2.07%, AL_4c:3.42%, AL_4h:5.13%, AL_4i:0.56%	-	-	-
ncbi-hev/AB075959	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:71.54%, AL_4f:1.62%, AL_4b:23.94%, AL_4d:0.26%, AL_4e:0.33%, AL_4a:0.20%, AL_4g:1.65%, AL_4_AB369688:0.47%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AB075960	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4b:54.70%, AL_4d:1.71%, AL_4e:2.51%, AL_4a:1.85%, AL_4g:26.06%, AL_4f:1.99%, AL_4_AB369688:2.07%, AL_4c:3.42%, AL_4h:5.13%, AL_4i:0.56%	-	-	-
ncbi-hev/AB075961	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4g	AL_4g:75.14%, AL_4_AB369688:1.04%, AL_4f:0.84%, AL_4c:10.05%, AL_4e:0.48%, AL_4h:0.44%, AL_4a:0.45%, AL_4i:0.30%, AL_4b:10.81%, AL_4d:0.45%	AL_4g	ncbi-hev	AB108537
ncbi-hev/AB075962	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:72.31%, AL_4b:21.33%, AL_4e:2.20%, AL_4h:2.92%, AL_4c:0.93%, AL_4f:0.31%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/AB075963	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4d:49.51%, AL_4f:19.56%, AL_4h:30.93%	-	-	-
ncbi-hev/AB075964	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4a:31.50%, AL_4g:34.55%, AL_4_AB369688:6.56%, AL_4f:5.98%, AL_4i:15.00%, AL_4c:6.41%	-	-	-
ncbi-hev/AB075965	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:97.25%, AL_4d:0.55%, AL_4e:0.44%, AL_4a:0.41%, AL_4g:0.33%, AL_4f:0.29%, AL_4_AB369688:0.28%, AL_4c:0.25%, AL_4i:0.21%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB075966	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:89.48%, AL_4d:3.28%, AL_4e:2.67%, AL_4a:2.50%, AL_4g:2.07%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB075967	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:98.00%, AL_4d:0.41%, AL_4e:0.32%, AL_4a:0.30%, AL_4g:0.24%, AL_4f:0.21%, AL_4_AB369688:0.20%, AL_4c:0.18%, AL_4i:0.15%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB075968	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:96.51%, AL_4d:0.70%, AL_4e:0.56%, AL_4a:0.52%, AL_4g:0.42%, AL_4f:0.37%, AL_4_AB369688:0.35%, AL_4c:0.32%, AL_4i:0.26%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB075969	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:74.25%, AL_4d:5.02%, AL_4e:3.93%, AL_4a:3.64%, AL_4g:2.91%, AL_4f:2.54%, AL_4_AB369688:2.42%, AL_4c:2.19%, AL_4i:1.78%, AL_4h:1.33%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB075970	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:96.12%, AL_4e:0.99%, AL_4b:0.57%, AL_4d:0.52%, AL_4g:0.52%, AL_4f:0.45%, AL_4_AB369688:0.43%, AL_4c:0.40%	AL_4a	ncbi-hev	AB197673
ncbi-hev/AB075971	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:96.95%, AL_4d:0.61%, AL_4e:0.47%, AL_4a:0.43%, AL_4g:0.34%, AL_4f:0.30%, AL_4_AB369688:0.28%, AL_4c:0.25%, AL_4i:0.21%, AL_4h:0.15%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AB079762	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:100.00%, AL_4f:0.00%, AL_4h:0.00%, AL_4g:0.00%, AL_4_AB369688:0.00%, AL_4e:0.00%, AL_4a:0.00%, AL_4i:0.00%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AB079763	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:98.95%, AL_3a:0.39%, AL_3_AB369689:0.35%, AL_3j:0.25%, AL_3i:0.06%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB079764	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:48.00%, AL_4f:17.38%, AL_4h:11.82%, AL_4g:6.33%, AL_4_AB369688:5.19%, AL_4e:2.79%, AL_4a:2.62%, AL_4i:2.52%, AL_4b:2.37%, AL_4d:1.01%	-	-	-
ncbi-hev/AB080575	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:64.28%, AL_4f:14.13%, AL_4h:10.98%, AL_4g:5.78%, AL_4_AB369688:4.84%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AB080576	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4h:23.47%, AL_4c:31.46%, AL_4f:22.27%, AL_4g:10.30%, AL_4_AB369688:8.63%, AL_4e:1.49%, AL_4a:1.40%, AL_4i:0.28%, AL_4b:0.37%, AL_4d:0.34%	-	-	-
ncbi-hev/AB080577	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:63.87%, AL_3j:14.26%, AL_3_AB369689:10.10%, AL_3b:9.89%, AL_3i:1.88%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB080578	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:75.93%, AL_3j:9.26%, AL_3_AB369689:6.88%, AL_3b:6.73%, AL_3i:1.20%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB080579	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:80.97%, AL_3j:7.44%, AL_3_AB369689:5.84%, AL_3b:5.74%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082545	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:55.70%, AL_4f:17.58%, AL_4h:13.64%, AL_4g:7.06%, AL_4_AB369688:5.89%, AL_4e:0.09%, AL_4a:0.04%	-	-	-
ncbi-hev/AB082546	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:54.85%, AL_4f:17.09%, AL_4h:13.42%, AL_4g:6.87%, AL_4_AB369688:5.73%, AL_4e:0.82%, AL_4a:0.77%, AL_4i:0.46%	-	-	-
ncbi-hev/AB082547	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4f	AL_4f:100.00%, AL_4c:0.00%, AL_4h:0.00%, AL_4g:0.00%, AL_4_AB369688:0.00%, AL_4e:0.00%, AL_4a:0.00%, AL_4i:0.00%, AL_4b:0.00%	AL_4f	ncbi-hev	AB220974
ncbi-hev/AB082548	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:26.76%, AL_4c:25.73%, AL_4g:9.94%, AL_4h:12.19%, AL_4_AB369688:8.01%, AL_4e:3.92%, AL_4a:3.65%, AL_4i:3.50%, AL_4b:3.27%, AL_4d:3.02%	-	-	-
ncbi-hev/AB082549	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:65.70%, AL_3j:13.07%, AL_3_AB369689:9.81%, AL_3b:9.60%, AL_3i:1.68%, AL_3h:0.06%, AL_3_AB290312:0.06%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082550	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:94.55%, AL_3a:1.98%, AL_3_AB369689:1.82%, AL_3j:1.31%, AL_3i:0.34%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB082551	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:82.93%, AL_3a:6.57%, AL_3_AB369689:6.08%, AL_3j:4.42%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB082552	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:85.97%, AL_3j:5.12%, AL_3_AB369689:3.69%, AL_3b:3.60%, AL_3i:0.56%, AL_3h:0.37%, AL_3_AB290312:0.37%, AL_3_JQ953664:0.32%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082553	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:68.27%, AL_3j:12.07%, AL_3_AB369689:8.72%, AL_3b:8.53%, AL_3i:1.45%, AL_3h:0.96%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082554	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:89.86%, AL_3a:3.67%, AL_3_AB369689:3.39%, AL_3j:2.44%, AL_3i:0.64%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB082555	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:73.58%, AL_3j:9.76%, AL_3_AB369689:7.10%, AL_3b:6.94%, AL_3i:1.13%, AL_3h:0.75%, AL_3_AB290312:0.74%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082556	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:76.05%, AL_3a:9.05%, AL_3_AB369689:8.47%, AL_3j:6.43%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB082557	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:47.82%, AL_4f:17.03%, AL_4h:12.27%, AL_4g:6.67%, AL_4_AB369688:5.49%, AL_4e:2.96%, AL_4a:2.78%, AL_4i:2.68%, AL_4b:1.19%, AL_4d:1.10%	-	-	-
ncbi-hev/AB082558	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4f	AL_4f:100.00%, AL_4c:0.00%, AL_4h:0.00%, AL_4g:0.00%, AL_4_AB369688:0.00%, AL_4e:0.00%, AL_4a:0.00%, AL_4i:0.00%, AL_4b:0.00%	AL_4f	ncbi-hev	AB220974
ncbi-hev/AB082559	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4h:41.40%, AL_4c:24.14%, AL_4f:14.81%, AL_4g:5.28%, AL_4_AB369688:4.30%, AL_4e:2.25%, AL_4a:2.11%, AL_4i:2.03%, AL_4b:1.90%, AL_4d:1.77%	-	-	-
ncbi-hev/AB082560	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:88.70%, AL_3j:4.32%, AL_3_AB369689:3.23%, AL_3b:3.16%, AL_3i:0.58%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082561	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:85.40%, AL_3a:5.30%, AL_3_AB369689:4.89%, AL_3j:3.50%, AL_3i:0.91%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB082562	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	-	AL_3b:44.54%, AL_3a:18.23%, AL_3_AB369689:18.77%, AL_3j:15.06%, AL_3i:2.81%, AL_3h:0.41%, AL_3_AB290312:0.18%	-	-	-
ncbi-hev/AB082563	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:85.30%, AL_3j:5.58%, AL_3_AB369689:4.21%, AL_3b:4.12%, AL_3i:0.79%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082564	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:89.50%, AL_3j:3.95%, AL_3_AB369689:2.90%, AL_3b:2.84%, AL_3i:0.48%, AL_3h:0.32%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082565	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:78.86%, AL_3a:8.13%, AL_3_AB369689:7.52%, AL_3j:5.49%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB082566	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3a	AL_3a:93.94%, AL_3j:2.22%, AL_3_AB369689:1.63%, AL_3b:1.59%, AL_3i:0.27%, AL_3h:0.18%, AL_3_AB290312:0.18%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB082567	AL_3	AL_3:100.00%	AL_3b	ncbi-hev	AP003430	AL_3b	AL_3b:80.11%, AL_3a:6.97%, AL_3_AB369689:6.26%, AL_3j:4.07%, AL_3i:0.78%, AL_3h:0.50%, AL_3_AB290312:0.49%, AL_3_JQ953664:0.42%, AL_3c:0.41%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB085949	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:95.98%, AL_1b:2.07%, AL_1a:1.43%, AL_1f:0.33%, AL_1e:0.10%, AL_1d:0.07%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085950	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.91%, AL_1f:1.85%, AL_1b:1.24%, AL_1c:0.89%, AL_1e:0.06%, AL_1d:0.05%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085951	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:94.45%, AL_1f:2.41%, AL_1b:1.71%, AL_1c:1.26%, AL_1e:0.10%, AL_1d:0.08%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085952	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.62%, AL_1f:1.92%, AL_1b:1.34%, AL_1c:0.98%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085953	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:94.63%, AL_1b:2.79%, AL_1a:1.92%, AL_1f:0.44%, AL_1e:0.13%, AL_1d:0.09%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085954	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.62%, AL_1f:1.92%, AL_1b:1.34%, AL_1c:0.98%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085955	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.60%, AL_1f:1.93%, AL_1b:1.35%, AL_1c:0.99%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085956	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:91.23%, AL_1f:3.83%, AL_1b:2.70%, AL_1c:1.97%, AL_1e:0.16%, AL_1d:0.12%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085957	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:96.89%, AL_1b:1.63%, AL_1a:1.11%, AL_1f:0.24%, AL_1e:0.07%, AL_1d:0.05%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085958	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.49%, AL_1f:1.98%, AL_1b:1.38%, AL_1c:1.01%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085959	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:96.89%, AL_1b:1.63%, AL_1a:1.11%, AL_1f:0.24%, AL_1e:0.07%, AL_1d:0.05%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085960	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.96%, AL_1f:1.83%, AL_1b:1.23%, AL_1c:0.88%, AL_1e:0.06%, AL_1d:0.05%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085961	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:94.57%, AL_1f:2.35%, AL_1b:1.67%, AL_1c:1.23%, AL_1e:0.10%, AL_1d:0.08%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085962	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:96.89%, AL_1b:1.63%, AL_1a:1.11%, AL_1f:0.24%, AL_1e:0.07%, AL_1d:0.05%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085963	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:96.89%, AL_1b:1.63%, AL_1a:1.11%, AL_1f:0.24%, AL_1e:0.07%, AL_1d:0.05%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085964	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:96.89%, AL_1b:1.63%, AL_1a:1.11%, AL_1f:0.24%, AL_1e:0.07%, AL_1d:0.05%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085965	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085966	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:94.57%, AL_1f:2.35%, AL_1b:1.67%, AL_1c:1.23%, AL_1e:0.10%, AL_1d:0.08%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085967	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:95.62%, AL_1f:1.92%, AL_1b:1.34%, AL_1c:0.98%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085968	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:94.57%, AL_1f:2.35%, AL_1b:1.67%, AL_1c:1.23%, AL_1e:0.10%, AL_1d:0.08%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085969	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:74.11%, AL_1b:9.41%, AL_1c:6.90%, AL_1f:8.58%, AL_1e:0.56%, AL_1d:0.43%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085970	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:74.11%, AL_1b:9.41%, AL_1c:6.90%, AL_1f:8.58%, AL_1e:0.56%, AL_1d:0.43%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085971	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:74.11%, AL_1b:9.41%, AL_1c:6.90%, AL_1f:8.58%, AL_1e:0.56%, AL_1d:0.43%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085972	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:74.11%, AL_1b:9.41%, AL_1c:6.90%, AL_1f:8.58%, AL_1e:0.56%, AL_1d:0.43%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085973	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:74.11%, AL_1b:9.41%, AL_1c:6.90%, AL_1f:8.58%, AL_1e:0.56%, AL_1d:0.43%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085974	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:72.79%, AL_1b:9.68%, AL_1f:9.19%, AL_1c:7.21%, AL_1e:0.64%, AL_1d:0.50%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB085975	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085976	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.40%, AL_1b:3.37%, AL_1a:2.36%, AL_1f:0.57%, AL_1e:0.17%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085977	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1f	AL_1f:88.71%, AL_1a:10.22%, AL_1b:0.60%, AL_1c:0.42%, AL_1e:0.03%, AL_1d:0.02%	AL_1f	ncbi-hev	JF443721
ncbi-hev/AB085978	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085979	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085980	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085981	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:92.66%, AL_1b:3.61%, AL_1a:2.61%, AL_1f:0.71%, AL_1e:0.23%, AL_1d:0.17%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085982	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085983	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085984	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
ncbi-hev/AB085985	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1c	AL_1c:93.89%, AL_1b:3.05%, AL_1a:2.18%, AL_1f:0.56%, AL_1e:0.18%, AL_1d:0.13%	AL_1c	ncbi-hev	X98292
